Axe_X,Axe_Y,Name,Cluster
0.5658177,23.083931,Emiliano SALA (footballeur attaquant fc nantes),Groupe 2
-22.950773,1.7371569,Eminem,Groupe 0
-18.442598,2.2416284,Eminem (chanteur),Groupe 0
-1.3327259,-9.612137,Emiya Kiritsugu ,Groupe 3
-28.60188,6.273584,Emma Stone (actrice),Groupe 2
-29.163206,6.9477725,Emma Watson,Groupe 0
-19.595936,18.227095,Emmanuel Macron (président de la République Française),Groupe 0
1.6263644,-13.971505,EnjoyPhoenix ,Groupe 3
-36.150856,32.89545,Enora L (Etudiante INFO promo 2018),Groupe 2
2.3391418,-13.825815,Ephialtès ,Groupe 3
28.329771,-37.45003,Eragon (personnage de roman de fantasy,Groupe 1
-38.464725,20.385378,Eric Antoine,Groupe 2
-22.715305,36.0625,Éric Cantona,Groupe 2
6.627771,3.269312,Eric Clapton ,Groupe 3
-24.414791,32.69802,Éric Di Méco (ancien joueur de l'OM),Groupe 0
-15.7070055,-2.1425939,Eric Théodore Cartman ,Groupe 2
-42.30826,28.428911,Erwan Legruyer (chercheur INSA),Groupe 2
0.8986935,-10.377012,Erza Scarlett ,Groupe 3
19.509872,15.859637,Escher,Groupe 2
1.0269406,-13.284091,Esperanza Gomez ,Groupe 3
39.07919,-31.831406,Esteban (cités d'or),Groupe 1
-44.54755,28.091904,Étienne Chouard (militant politique),Groupe 2
-35.992012,23.313389,Étienne Klein (physicien français),Groupe 2
-8.373203,14.112546,Eugène Delacroix (peintre du 19ème),Groupe 2
-7.6742806,9.775806,Eugène Livet (éducateur français),Groupe 2
-7.0493746,12.352742,Eugénie Brazier (chef cuisinière),Groupe 2
3.0808043,-10.954499,Eustass "Captain" Kidd ,Groupe 3
-5.389964,7.652825,Évariste Galois (Mathématicien français),Groupe 2
27.45466,-33.942387,Ewok,Groupe 1
24.637255,-26.194689,Eyeshield 21,Groupe 1
12.579523,-38.251423,Ezio Auditore da Firenze (jeu assassin creed),Groupe 1
-30.237728,28.669104,f,Groupe 2
-21.151451,32.57182,Fabien Barthez,Groupe 0
-46.573257,23.066257,Fabien desgranges,Groupe 2
-21.95885,46.432484,Fabien Lemoine (footballeur),Groupe 2
-10.93931,-25.314274,Facteur Yacinthe ,Groupe 3
1.8980198,-10.640878,Falco (Jeu StarFox),Groupe 3
18.185543,15.878747,Fedor Dostoïevski,Groupe 2
0.20774509,-13.124588,Felicity Smoak ,Groupe 3
-0.2523664,-12.501917,Fernando Alonzo (pilote F1),Groupe 3
17.480766,-16.026964,Ferris (Mascotte de rust),Groupe 1
1.731967,-13.214036,Ferris Eris ,Groupe 3
17.050934,15.257538,Fidel Castro (ancien dictateur de Cuba),Groupe 2
24.706137,-23.44228,Filémon (perso BD),Groupe 1
-10.939354,-25.313734,Flairsou ,Groupe 3
-1.0322405,-11.875772,Flash McQueen ,Groupe 3
-24.195377,-0.5608786,Flea (Red Hot Chilli Peppers),Groupe 2
1.0938883,-8.5631,Fleur Piranha ,Groupe 3
-32.130234,28.840849,Florence Foresti,Groupe 2
-23.507954,45.447212,Florent Manaudou,Groupe 2
-28.966602,23.695704,Florent Pagny,Groupe 2
-45.90637,23.70861,Florian Lisieux (étudiant INSA),Groupe 2
-2.487153,29.59331,Flume (musicien),Groupe 2
25.987667,-36.56015,Ford Prefect (perso du Guide du voyageur galactique),Groupe 1
2.8688295,-9.344137,Foued Kadir ,Groupe 3
-3.7863028,15.554314,France Gall,Groupe 2
-21.810791,45.576202,Franck Ribery (footballeur),Groupe 2
-28.55963,24.566824,Francky Vincent,Groupe 2
-10.3220215,16.511612,François 1er,Groupe 2
-35.68575,19.562136,François Asselineau (président UPR),Groupe 2
-32.751907,20.777388,François Fillon,Groupe 0
-19.484156,18.06488,François Hollande,Groupe 0
4.003532,0.9532537,François II ,Groupe 3
-10.33895,9.953279,François Mitterand,Groupe 0
13.596088,-27.688332,François Pignon (personnage de films),Groupe 1
-10.313808,6.457939,Françoise DOLTO,Groupe 2
42.02806,-24.486938,Franklin,Groupe 1
16.99293,23.102057,Freddy Mercury (chanteur de Queen),Groupe 2
-8.83762,13.113119,Frères Lumière,Groupe 2
-3.2076025,9.800514,Freud,Groupe 2
23.008383,-37.486145,Frodon,Groupe 0
-44.107994,19.347807,Gab35 (youtubiste),Groupe 2
-4.0635357,24.671938,Gabriela Sabatini (tenniswoman argentine),Groupe 2
-31.237188,16.28743,Gad Elmaleh (Humoriste),Groupe 2
-24.91681,43.718792,Gaël Monfils (tennisman),Groupe 2
